Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Shares Short (prior month
0,0,AIZ,0,0,0,0,5820000000.0,7470000000.0,23.72,9.98,0.56,0.72,1.14,0.93,11.63,3.12,6.39,0.88,5.37,8060000000.000001,136.02,38.2,704400000.0,641900000.0,236800000.0,3.98,-92.0,1690000000.0,27.39,3320000000.0,64.72,0.59,82.53,656700000.0,8560000000.000001,0.76,95.24,96.18,61680000.0,61680000.0,61080000.0,1.02,86.11,1360000.0,1.38,2.21,1480000.0
0,0,AKAM,0,0,0,0,13150000000.0,13450000000.0,38.22,17.26,1.39,4.78,4.01,4.89,17.28,12.78,17.78,6.2,10.55,2750000000.0,16.62,5.7,1760000000.0,778240000.0,351790000.0,2.1,99.4,1120000000.0,6.82,1280000000.0,38.94,3.19,20.02,977170000.0,493480000.0,0.18,74.58,68.72,1290000.0,163860000.0,159740000.0,3.12,91.02,7200000.0,6.53,5.05,7880000.0
0,0,ALL,0,0,0,0,32729999999.999996,36310000000.0,14.28,9.98,0.9,0.8,1.52,0.88,8.95,6.19,8.55,1.92,10.87,41040000000.0,119.84,12.5,9130000000.0,4059999999.9999995,2390000000.0,6.88,32.5,4710000000.0,14.14,6450000000.0,27.56,0.49,64.53,5260000000.0,3070000000.0,0.7,95.62,90.56,1920000.0,333000000.0,331640000.0,0.38,81.28,4420000.0,2.52,1.33,5190000.0
0,0,ALTR,0,0,0,0,2620000000.0,2780000000.0,205.17,50.59,1.38,6.6,9.08,7.02,70.86,3.46,6.19,3.98,7.9,396380000.0,5.88,28.2,286110000.0,39290000.0,13710000.0,0.18,,35340000.0,0.5,31750000.0,11.07,1.21,4.07,36230000.0,-59910000.0,,37.7,33.55,38670000.0,38670000.0,33409999.999999996,11.34,74.01,1.83,1.83,0.99,
0,0,ALXN,0,0,0,0,29850000000.0,31740000000.0,71.5,12.41,0.99,6.88,3.08,7.31,14.71,9.59,41.06,8.01,4.43,4340000000.0,19.45,22.5,3760000000.0,2160000000.0,416400000.0,1.86,136.0,1670000000.0,7.44,2880000000.0,29.68,3.87,43.29,556600000.0,1060000000.0,1.75,134.93,122.91,1410000.0,224240000.0,223770000.0,0.31,96.77,3790000.0,2.87,2.01,4040000.0
0,0,AMAT,0,0,0,0,41490000000.0,43440000000.0,11.13,11.68,1.39,2.47,5.05,2.59,8.84,23.33,26.72,14.54,46.89,16800000000.0,17.0,-10.7,7820000000.0,4910000000.0,3920000000.0,3.93,367.3,3710000000.0,3.91,5310000000.0,64.68,2.72,8.65,3160000000.0,1170000000.0,1.5,41.86,37.23,9770000.0,949390000.0,939890000.0,0.3,81.5,13570000.0,1.53,1.43,15970000.0
0,0,AMD,0,0,0,0,30600000000.0,27870000000.0,88.41,28.58,1.17,4.73,22.45,4.3,41.85,5.2,7.66,7.65,36.2,6470000000.0,6.59,5.9,2490000000.0,666000000.0,337000000.0,0.32,,1160000000.0,1.15,1250000000.0,98.74,1.78,1.26,34000000.0,-113620000.0,4.05,26.8,22.69,67320000.0,1080000000.0,928440000.0,0.8,66.97,112020000.0,1.38,10.42,114670000.0
0,0,AMGN,0,0,0,0,107650000000.0,116830000000.0,14.08,11.92,6.27,4.53,10.0,4.92,9.53,34.0,43.36,9.52,61.05,23750000000.0,37.12,0.1,19650000000.0,12260000000.0,8070000000.0,12.54,-13.8,26300000000.0,42.84,33020000000.000004,304.87,2.77,17.64,10410000000.0,7450000000.0,0.97,187.43,191.33,2930000.0,609940000.0,613040000.0,0.21,81.92,10890000.0,4.49,1.77,10700000.0
0,0,AMP,0,0,0,0,19950000000.0,21210000000.0,10.38,8.12,0.49,1.54,3.6,1.64,5.72,16.23,27.17,1.54,36.22,12920000000.0,88.76,0.4,6660000000.0,3710000000.0,2100000000.0,14.2,204.5,3890000000.0,28.73,5230000000.0,93.68,2.6,40.99,2600000000.0,1860000000.0,2.23,136.12,125.99,135400000.0,135400000.0,134950000.0,0.39,86.7,1810000.0,1.91,1.34,1810000.0
0,0,AMT,0,0,0,0,85210000000.0,106620000000.0,69.6,46.01,2.71,11.45,15.94,14.33,23.56,16.62,36.86,5.18,17.02,7440000000.0,16.92,25.1,5260000000.0,4530000000.0,1230000000.0,2.77,16.4,1210000000.0,2.74,21160000000.0,306.47,0.51,12.1,3750000000.0,3400000000.0,0.22,193.49,171.82,1750000.0,441970000.0,439800000.0,0.21,95.72,5050000.0,2.47,1.32,5430000.0
